place_name,feature_type,latitude,longitude
Toronto,,43.60012,-79.66632
Trenton,,40.21705,-74.74294
Tripoli,,42.80804,-92.25823
Trumbull County,,41.31717,-80.76116
Tsche-ne-sche-e,,43.03341,-79.83293
Tulpehocken,,39.71334,-74.56316
Tunkhannock,,41.53869,-75.94659
Turkey Hill,T,41.28121,-73.07177
Turtle Creek,H,40.38979,-79.85199
Tuscarawas,,40.39479,-81.40706
Tuscarawas,,40.77798,-81.60021
Tuscarawas County,,40.44096,-81.47377
Tuscarawas River,H,40.27535,-81.87347
Tuscarawas River standing for Muskingum,H,40.27535,-81.87347
Tuscarawas Town,,40.39479,-81.40706
Tuscarawi,,40.39479,-81.40706
Tuscarawi now Bolivar,,40.39479,-81.40706
Tuscarora Creek,H,39.24344,-77.47526
Tuscarora Mountains,T,40.23675,-77.73832
Tuscarora Town,,43.05011,-80.13295
Tuscarores,,43.05011,-80.13295
Unami,,39.74286,-79.28531
Upper Canada,,44.05502,-79.48201
Upper Sandusky,,40.82728,-83.28131
Utica,,44.06862,-79.02457
Venango,,38.6389,-97.98644
Vermilion River Ohio,H,46.26677,-81.68309
Vermillion River,H,41.42699,-82.36405
Vienna,,48.20849,16.37208
Vier Bruder,,49.23299,-121.65255
Vincennes,,38.67727,-87.52863
Virgin Islands,,44.36682,-75.98266
Virginia,,37.54812,-77.44675
Wabash River,H,37.80843,-88.02813
Wajomik,,42.95008,-82.11651
Walhanding River,H,40.27535,-81.87374
Wapwallopen,,41.07453,-76.13076
Warpoles,,40.79922,-83.35492
Warren,,41.23756,-80.81842
Warwick,,40.1651,-75.78382
Warwick,,40.92228,-81.64096
Warwick,,41.25648,-74.35988
Washington,,47.50012,-120.50147
Washington County,,40.1894,-80.24824
Washington County,,39.45532,-81.49525
Weh-to-pi-jah-neek,,42.91679,-81.41646
West Alexander,,40.10507,-80.50785
West River,H,51.18339,-56.7648
Westminster,,45.47171,-73.84487
Westmoreland County,,40.31073,-79.46696
Wheeling,,40.06396,-80.72091
Whi-a-lu-sis,,42.91679,-81.41646
White Clay River,H,39.69761,-75.62187
White River,H,38.41421,-87.74253
White Woman's Creek,H,40.17368,-81.74735
Whitewater River,H,49.03348,-80.24973
Wilawana,,41.98757,-76.61717
Wilkes-Barre,,41.24591,-75.88131
Williamsburg,,40.71427,-73.95347
Williamsburg,,37.2707,-76.70746
Wilmington,,39.74595,-75.54659
Windsor,,48.94994,-55.66492
Wintering Place,,47.2416,-53.94393
Woapicamikunk White River,H,38.41421,-87.74253
Wolf Mountain,T,48.13327,-56.81502
Wood Creek,H,43.38701,-75.47045
Woodbury,,41.54454,-73.209
Wooster,,40.80517,-81.93646
Wulunk,,36.32034,-91.8632
Wurtemberg,,50.3146,11.2628
Wyalusing,,41.66813,-76.26188
Wyalusing Creek,H,41.66174,-76.26632
Wyalusing Island,,41.66813,-76.26188
Wyoming,,41.47747,-105.63666
Yellow Creek,H,40.5734,-80.66702
York,,39.9626,-76.72774
York,,44.00011,-79.46632
York County,,39.91996,-76.72651
Yorktown,,37.23858,-76.50894
Youngstown,,41.09978,-80.64952
Zanesville,,39.94035,-82.01319
Zurich,,47.36667,8.55
